species|ecology|status|trends|world distribution
Oenanthe fistulosa|A perennial herb of damp or wet habitats, usually in areas of winter flooding. It occurs in meadows and pastures in the flood plains of rivers, in marshes and fens, and in emergent and fringing vegetation by rivers, streams, canals, ditches, lakes and ponds. It reproduces by seed, and spreads by stolons. In heavily grazed swards seed is produced virtually at ground level from secondary growth. Lowland.|Native|This species, mapped as `all records` in the 1962 Atlas, has appreciably declined because of drainage and the re-seeding of old grassland or its conversion to arable. Most losses appear to have occurred since 1950.|European Temperate element.     © K.J. Walker, BSBI
Oenanthe fluviatilis|An aquatic perennial herb, most frequent in clear, meso-eutrophic water of calcareous streams and rivers; also found in canals and ditches, but rarely in ponds. In flowing water, propagation is usually by plants rooting at nodes, or by vegetative fragmentation. Flowering is more frequent in still or sluggish water, but the frequency of reproduction from seed is unknown. Lowland.|Native|The decline in this species was evident in the 1962 Atlas and has continued. The main reasons are eutrophication from agricultural run-off, dredging, and canalisation of rivers. However, it was clearly under-recorded in 1962 and may still be overlooked in some areas.|Oceanic Temperate element.
Oenanthe lachenalii|In coastal areas this perennial herb occurs in the uppermost parts of saltmarshes, in rough grassland in drained estuarine marshes, by brackish dykes and the lower reaches of tidal rivers. Inland, it is found in base-enriched habitats, including marshes, fen-meadows and tall-herb fen. Lowland.|Native|O. lachenalii is still widespread and locally plentiful, especially around the coast, but inland sites have been lost to drainage and land-fill. It was mapped as `all records` in the 1962 Atlas.|Suboceanic Southern-temperate element.
Oenanthe pimpinelloides|A tuberous perennial herb, found in hay meadows and pastures, especially those which are horse-grazed, and on roadsides. It grows in both damp and dry grassland, being the only Oenanthe which grows in dry habitats in our area. Lowland.|Native|Despite many losses, this species is still present in very large numbers on some roadsides and in unimproved fields. Many of its outlying sites have been discovered since 1960, due to an expansion of its range or the existence of previously overlooked sites. It was recently discovered in Co. Clare, where it may have been introduced in a seed mixture.|Mediterranean-Atlantic element.     © H. Higgins, IWNHAS
Oenanthe silaifolia|This perennial herb is found in damp grassland which receives calcareous flood-water in winter. It normally grows in hay meadows and may occur abundantly in lammas meadows, but only as depauperate individuals in more intensively farmed land. It also occurs on damp streamsides. Lowland.|Native|Many sites were lost before 1930, but new sites for this species have been discovered since the 1962 Atlas, and its known range has been extended to E. Yorkshire. It is eliminated by even quite modest agricultural intensification. All records from Dorset, mapped in both the 1962 Atlas and in Stewart et al. (1994), are now regarded as errors for O. lachenalii.|European Southern-temperate element.
Oenothera|Annual or biennial herbs of open habitats on sandy or waste ground. Lowland.|Neophyte|Oenothera taxa were cultivated in Britain by 1629. The taxonomic interpretation of this genus has changed considerably over the last fifty years. Hybridisation and backcrossing are frequent, reciprocal crosses often having different characters, making identification very difficult. Some records mapped as species may therefore refer to hybrids.|An aggregate of closely related species originally from N. & S. America, and their hybrids and derivatives.
Oenothera biennis|A tall biennial of open ground on sandy soils, found on sand dunes, river banks, waste ground, railway sidings and roadsides, in neglected cultivated fields, quarries, sand-pits and rubbish tips. Large numbers often occur on freshly opened ground, but they quickly decrease as the vegetation closes. Lowland.|Neophyte|O. biennis was cultivated in Britain by 1629 and was recorded in the wild in about 1650. It often grows with other Oenothera species, and hybrids may outnumber pure O. biennis. Losses since the 1962 Atlas are possibly due to the transient nature of some colonies and past misidentifications.|O. biennis was introduced either from N. America, or from Europe from N. American progenitors.
Oenothera biennis x glazoviana (O. x fallax)||||
Oenothera cambrica|A tall biennial of open ground on light soils, found on sand dunes, sandy seashores and river banks, waste ground, tracksides, railway land and roadsides, dockland, and in old cultivated areas, quarries and sand-pits. Lowland.|Neophyte|O. cambrica was introduced to cultivation in Britain in 1775, and was first recorded from the wild in Cardiff (Glamorgan) in 1833. Hybrids with both O. biennis and O. glazioviana form readily and can outnumber or replace pure O. cambrica. It is now considerably more common than when mapped in the 1962 Atlas.|Probably native of N. America, or evolved in Europe from ancestors originally from N. America.
Oenothera glazioviana|A tall, conspicuous biennial of open ground on sandy soils, often near the sea but also inland on waste ground, railway sidings and roadsides, in old cultivated areas, quarries and sand-pits. Large numbers are often found on freshly opened ground, though populations quickly decrease as the vegetation closes. Lowland.|Neophyte|O. glazioviana was first cultivated in Britain in about 1858, and recorded from the wild in 1866. It has spread and consolidated its range since the 1962 Atlas, and is now by far the commonest species of the genus in Britain. It readily hybridises with O. biennis and O. cambrica.|Native of N. America.
Onobrychis viciifolia|A perennial herb which occurs in a dwarf form in unimproved chalk grassland. Robust alien variants are found on grassy banks, roadsides and by tracks on chalk and less often on other calcareous soils. They can be abundant on newly sown roadsides. Generally lowland, reaching 335 m near Taddington (Derbys.).|Native|The chalk grassland form of O. viciifolia may be native, but the limits of its native distribution have been obscured by aliens. Agricultural variants were introduced in the 17th century and widely cultivated for fodder until the 19th century. The species is increasing as a constituent of wild-flower mixtures and as a contaminant of grass-seed.|Eurosiberian Temperate element; widely naturalised outside its native range.     © P. Shannon
Ononis reclinata|An annual of thin, dry, calcareous soils with a low organic content, especially on S.- or S.W.-facing coastal cliffs of limestone and, in Scotland, greywacke. In the Channel Islands it occurs in consolidated dune turf. Populations often fluctuate in size, sometimes very markedly. Lowland.|Native|The overall distribution of O. reclinata has not changed significantly since the 1962 Atlas. New sites have, however, been discovered near to known colonies, but the species was lost in Guernsey in 1956 through the growth of rank vegetation.|Mediterranean?Atlantic element.     © K.J. Walker, BSBI
